품목명,수거단계,재배양식,생산자 주소,재배면적,조사물량,등록일자,분석결과
참깨,생산,일반 ,충청북도  보은군  ,3743,200,20200831,적합
무,생산,일반 ,경상북도  봉화군  ,3581,21000,20200827,적합
무,생산,일반 ,경상북도  봉화군  ,674,6127,20200827,적합
둥글래,생산,일반 ,경상북도  봉화군  ,3080,300,20200827,적합
오미자,생산,일반 ,경상북도  봉화군  ,2261,3425,20200827,적합
홍고추(붉은고추),생산,일반 ,경상북도  봉화군  ,572,312,20200827,적합
홍고추(붉은고추),생산,일반 ,경상북도  봉화군  ,1699,500,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,793,15,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,1496,20,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,2037,10,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,551,10,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,679,10,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,2267,30,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,988,10,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,641,10,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,572,10,20200827,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,615,10,20200827,적합
배,생산,GAP(인증) ,충청남도  천안시  ,1239,16200,20200827,적합
녹두,생산,일반 ,경상남도  고성군  ,100,4,20200826,적합
홍고추(붉은고추),생산,일반 ,경상남도  고성군  ,300,30,20200826,적합
들깨,생산,일반 ,경상남도  고성군  ,300,5,20200826,적합
들깨,생산,일반 ,경상남도  고성군  ,300,5,20200826,적합
팽이버섯,생산,친환경(인증) 무농약,경상북도  청도군  ,7353,7000,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,2993,1566,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,367,192,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,2432,1272,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,1141,597,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,2560,1339,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,1437,752,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,976,510,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,2936,1536,20200826,적합
멥쌀(일반),생산,일반 ,전라남도  화순군  ,3000,1569,20200826,적합
구기자,생산,일반 ,충청남도  청양군  ,335,5,20200826,적합
배,생산,일반 ,충청남도  논산시  ,1914,3000,20200826,적합
고구마,생산,일반 ,부산광역시  기장군  ,450,400,20200825,적합
가지,생산,일반 ,부산광역시  기장군  ,330,300,20200825,적합
깻잎,생산,일반 ,부산광역시  기장군  ,600,550,20200825,적합
생고구마순,생산,일반 ,경상남도  합천군  ,1000,50,20200825,적합
깻잎,생산,일반 ,경상남도  사천시  ,330,100,20200825,적합
깻잎,생산,일반 ,경상남도  사천시  ,330,100,20200825,적합
깻잎,생산,일반 ,경상남도  사천시  ,330,100,20200825,적합
깻잎,생산,일반 ,경상남도  사천시  ,330,100,20200825,적합
가지,생산,일반 ,경상남도  사천시  ,330,300,20200825,적합
가지,생산,일반 ,경상남도  사천시  ,330,300,20200825,적합
복숭아,생산,일반 ,경상북도  영주시  ,2500,1500,20200825,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,922,20,20200825,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,1709,20,20200825,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,754,10,20200825,적합
사과,생산,일반 ,충청북도  영동군  ,990,500,20200825,적합
배,생산,일반 ,충청북도  청주시  ,3900,6400,20200824,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,1425,50,20200824,적합
풋고추,생산,일반 ,충청남도  청양군  ,924,20,20200824,적합
풋고추,생산,일반 ,충청남도  청양군  ,896,20,20200824,적합
홍고추(붉은고추),생산,일반 ,충청남도  청양군  ,1385,20,20200824,적합
배,생산,일반 ,충청남도  아산시  ,10000,5302.5,20200824,적합
포도,생산,일반 ,충청북도  영동군  ,2337,500,20200824,적합
단감,생산,일반 ,부산광역시  기장군  ,500,450,20200820,적합
홍고추(붉은고추),생산,일반 ,부산광역시  기장군  ,420,400,20200820,적합
홍고추(붉은고추),생산,일반 ,부산광역시  기장군  ,443,420,20200820,적합
홍고추(붉은고추),생산,일반 ,경상남도  의령군  ,510,180,20200820,적합
홍고추(붉은고추),생산,일반 ,경상남도  의령군  ,1064,340,20200820,적합
홍고추(붉은고추),생산,일반 ,경상남도  의령군  ,311,100,20200820,적합
홍고추(붉은고추),생산,일반 ,경상남도  의령군  ,552,150,20200820,적합
복숭아,생산,GAP(인증) ,경상북도  상주시  ,1500,2340,20200820,적합
풋고추,생산,일반 ,전라북도  무주군  ,542,100,20200820,적합
배,생산,GAP(인증) ,세종특별자치시  전동면  ,3500,6500,20200820,적합
포도,생산,일반 ,충청북도  영동군  ,330,50,20200820,적합
배,생산,일반 ,전라남도  나주시  ,1730,18708,20200819,적합
배,생산,일반 ,충청남도  논산시  ,15000,16200,20200819,적합
옥수수,생산,일반 ,강원도  정선군  ,300,300,20200819,적합
옥수수,생산,일반 ,강원도  정선군  ,200,200,20200819,적합
옥수수,생산,일반 ,강원도  정선군  ,200,200,20200819,적합
옥수수,생산,일반 ,강원도  정선군  ,200,200,20200819,적합
옥수수,생산,일반 ,강원도  정선군  ,200,200,20200819,적합
오미자,생산,일반 ,경상북도  봉화군  ,800,4000,20200814,적합
수박,생산,일반 ,경상북도  봉화군  ,518,2227,20200814,적합
수박,생산,일반 ,경상북도  봉화군  ,2686,10744,20200814,적합
수박,생산,일반 ,경상북도  봉화군  ,689,2756,20200814,적합
옥수수,생산,일반 ,경상북도  봉화군  ,1006,3300,20200814,적합
감자,생산,일반 ,경상북도  봉화군  ,5953,36078,20200814,적합
오미자,생산,일반 ,경상북도  봉화군  ,3550,17750,20200814,적합
오미자,생산,일반 ,경상북도  봉화군  ,3482,17410,20200814,적합
